episode,time,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9
499,0,0,1,0,0,0,1,0,0,1,1,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0033333333333333335
499,1,1,0,0,0,0,0,1,1,0,1,0.0,0.0033333333333333335,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0033333333333333335,0.0,0.006666666666666667,0.0033333333333333335,0.006666666666666667
499,2,1,0,1,0,0,0,1,0,1,1,0.0033333333333333335,0.006666666666666667,0.0,0.01,0.01,0.006666666666666667,0.0,0.01,0.006666666666666667,0.01
499,3,0,0,1,1,0,1,1,0,0,1,0.006666666666666667,0.01,0.0,0.013333333333333334,0.013333333333333334,0.01,0.0,0.013333333333333334,0.01,0.0
499,4,0,0,0,0,0,0,0,0,1,0,0.01,0.013333333333333334,0.0033333333333333335,0.016666666666666666,0.016666666666666666,0.013333333333333334,0.0033333333333333335,0.016666666666666666,0.0,0.0033333333333333335
499,5,1,1,1,0,0,1,1,1,0,1,0.013333333333333334,0.016666666666666666,0.0,0.02,0.02,0.0,0.006666666666666667,0.02,0.0033333333333333335,0.006666666666666667
499,6,1,0,0,1,0,0,1,0,0,1,0.0,0.02,0.0033333333333333335,0.0,0.023333333333333334,0.0033333333333333335,0.0,0.023333333333333334,0.006666666666666667,0.0
499,7,1,1,0,0,0,1,1,0,0,1,0.0033333333333333335,0.0,0.006666666666666667,0.0033333333333333335,0.02666666666666667,0.0,0.0,0.02666666666666667,0.01,0.0
499,8,1,0,1,0,1,0,1,1,1,1,0.006666666666666667,0.0033333333333333335,0.01,0.006666666666666667,0.030000000000000002,0.0033333333333333335,0.0033333333333333335,0.030000000000000002,0.013333333333333334,0.0033333333333333335
499,9,1,0,1,1,0,1,0,0,0,1,0.01,0.006666666666666667,0.013333333333333334,0.01,0.03333333333333333,0.0,0.006666666666666667,0.03333333333333333,0.016666666666666666,0.0
