episode,time,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,age_0,age_1,age_2,age_3,age_4,age_5,age_6,age_7,age_8,age_9
499,0,0,1,0,0,1,0,0,0,0,0,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335,0.0033333333333333335
499,1,0,1,0,0,0,0,0,0,0,0,0.006666666666666667,0.0,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667
499,2,0,1,0,0,0,0,0,0,0,0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
499,3,0,1,0,0,0,0,0,0,0,0,0.013333333333333334,0.0,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.013333333333333334
499,4,0,1,0,0,0,0,0,0,0,0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666
499,5,0,1,0,0,0,0,0,0,0,0,0.02,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
499,6,1,1,0,0,0,0,0,0,0,0,0.0,0.0033333333333333335,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334,0.023333333333333334
499,7,0,1,0,0,0,0,0,0,0,0,0.0033333333333333335,0.0,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667,0.02666666666666667
499,8,0,1,0,0,0,0,0,0,0,0,0.006666666666666667,0.0,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002,0.030000000000000002
499,9,0,1,0,0,0,0,0,0,0,0,0.01,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
499,10,0,1,0,0,0,0,0,0,0,0,0.013333333333333334,0.0,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667,0.03666666666666667
499,11,0,1,0,0,0,0,0,0,0,0,0.016666666666666666,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
499,12,0,1,0,0,0,0,0,0,0,0,0.02,0.0,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335,0.043333333333333335
499,13,0,1,0,0,0,0,0,0,0,0,0.023333333333333334,0.0,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667,0.04666666666666667
499,14,0,1,0,0,0,0,0,0,0,0,0.02666666666666667,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
499,15,0,1,0,0,0,0,0,0,0,0,0.030000000000000002,0.0,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334,0.05333333333333334
499,16,0,1,0,0,0,0,0,0,0,0,0.03333333333333333,0.0,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.05666666666666667,0.05666666666666667
499,17,0,1,0,0,0,0,0,0,0,0,0.03666666666666667,0.0,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005,0.060000000000000005
499,18,1,1,0,0,0,0,0,0,0,0,0.0,0.0033333333333333335,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334,0.06333333333333334
